5,11,92
5,11,92
5,11,92
-600,14,-350
-602,14,-350
-593,13,-350
-583,16,-348
-574,16,-342
-574,16,-342
-578,11,-343
-578,15,-343
-592,16,-351
-593,21,-344
-593,21,-344
-593,21,-344
-593,21,-344
-593,21,-344
-593,21,-344
-593,19,-334
-616,19,-329
-580,12,-324
-649,14,-324
-650,14,-325
-628,19,-328
-575,11,-326
-116,15,262
-1123,29,-35
-981,10,241
13619,-19390,-25895
31755,2610,-15559
-26981,8210,-16559
4619,610,20641
-24581,17346,-25359
-27117,-17790,-3559
-8581,22546,-14959
-23181,30210,8641
-32117,15346,-22959
15019,-26590,24441
20419,-2390,-16759
27969,2025,-4264
-3001,222,22140
-10000,14027,-599
-198,26828,-1998
15401,-32314,24339
-20397,18823,-19396
11604,15826,-21203
-23732,-4974,3797
-15196,-2174,197
23804,-7574,2597
-12196,8962,-30603
22140,-16910,-18003
-11596,25826,8997
16004,-1374,-12203
-26196,14226,-23203
-9996,-21574,-6803
599,-13580,621
-12001,17220,6821
2799,19620,-2179
-20001,14220,2621
22599,-23380,27421
15135,-31980,23021
21399,20420,-5779
4999,-13580,17821
-22137,24620,12757
24800,7413,-6554
-13600,-11387,28982
24800,-26523,6046
18600,-14187,18246
0,17,-114
-1,10,-10
-1,12,-10
-1,12,-10
-1,10,-13
-1,11,-13
-1,11,-13
-1,11,-13
-1,11,-13
-1,21,-22
-30537,621,-31622
1599,-13579,31714
13598,-1982,13370
-2402,16219,-5030
11000,4630,32583
25400,10026,-17623
22200,6626,11377
-1000,14426,-15023
-8200,25826,-32023
