-3261,34,305
-28397,30769,1910
28673,4834,-24693
-30452,11033,12107
-3248,28,307
-3248,28,309
21339,29622,-20296
18740,18422,26504
19940,3022,-496
17138,12622,12903
20539,-21379,-27497
-23660,19222,18104
5338,-2579,9303
26480,26557,6902
9152,-17773,10707
353,-12973,-15293
11340,13622,-24096
32274,20022,4903
-18461,16022,-9497
-11060,19822,8304
-7656,21422,-26638
-26791,11219,-20436
-20662,-13179,-15496
19675,-22579,-31697
-9461,10622,12703
16339,30222,-31633
-21862,-29179,7304
-15663,422,-14096
24137,21422,7104
22737,-18779,-7296
14473,-32514,30104
-18263,-21114,-13096
-3463,-20979,-31696
24273,22,-6696
-13463,10757,7504
-3663,14822,-10696
-19999,-9179,8904
8938,-32379,5504
-23463,25157,28040
-28599,-15579,-2096
10341,-1579,-10894
10741,11822,-10695
-7456,-29114,29299
-4056,32759,11300
-23453,-16982,14495
4551,-3782,-14903
-18653,17219,-16301
7547,-12982,-9837
-12853,-19582,24498
20137,-14514,31505
3738,23222,14703
-30451,-2563,-6094
24740,28,-9897
-3851,-14772,15506
27749,23869,-15494
23349,27898,15306
13885,7069,28042
-11851,-24685,4107
-16987,3429,-25629
4147,23615,-10093
-18652,20415,9505
-18062,3216,303
15749,7361,22907
-6051,-873,-18493
15533,-15670,-17499
9134,-22670,5900
