-14956,581,-12603
10837,-18448,13614
27983,9580,23315
12047,-30621,8979
13583,32315,-32357
-18158,18981,-16817
7442,-26955,8919
12042,-18219,-4817
21042,-32019,20983
-2022,-5619,-29817
9978,-18219,-25417
-28358,6581,-23017
10242,23581,-7017
20578,-819,9783
-352,20380,19676
-5949,-26019,1545
-3549,21516,13745
-2954,-6818,-21844
-30956,-19017,-3650
30051,-4617,-9453
28051,28183,2347
22191,-19220,9647
-5758,-19818,-8283
-3953,-6018,-26183
13846,-28353,15484
-7153,-18,-16647
24583,29380,13349
-4550,-28954,-16048
-16951,16321,20146
23782,-2818,-14051
28851,-11820,17281
-5360,27715,29743
-3157,8182,19679
-2957,-25554,-24061
-11347,6383,-8251
