-1910,16,379
-1909,16,381
-1931,21,380
-1924,21,377
-1914,16,380
-1909,16,378
-1832,9,355
-1830,9,356
5391,81,11026
5391,100,11060
5398,95,11050
5404,81,11022
5381,61,11003
-1831,9,356
-1831,9,356
-1831,9,356
-1837,9,358
-1831,9,356
-1831,9,356
-1831,9,356
-1831,9,356
-1849,9,360
-2888,34,2484
-2888,34,2483
-1854,9,361
-1842,10,255
-1817,12,232
-1776,12,237
-1736,11,236
-1721,11,254
-1832,9,361
-1832,9,358
-1830,9,357
-1830,9,356
-1830,9,356
-1830,9,356
-1830,9,356
-1830,9,356
-1830,9,356
-1831,9,356
-1831,9,356
-1832,9,366
-1834,9,366
-1829,9,356
-1596,16,188
-1596,16,187
-1596,16,187
-1596,16,187
-1596,13,191
-1597,10,193
-1596,16,186
-1597,16,187
-1596,16,186
-1597,16,185
-1597,16,185
