176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
176,13,807
59,3,143
59,3,143
56,4,144
42,3,150
1,3,145
-39,0,157
-68,3,154
-68,3,154
-68,3,154
-68,3,154
-68,3,154
-96,3,164
-109,3,163
-92,3,163
-110,3,157
-87,3,158
-46,3,165
-11,0,169
19,0,190
55,4,199
91,5,189
130,3,170
155,9,163
153,9,161
155,12,157
169,12,147
174,12,118
141,12,133
102,7,142
75,3,164
33,3,161
15,3,155
-13,3,163
-53,3,174
-90,1,174
-117,1,189
-153,1,208
-190,6,222
-217,16,214
-247,25,212
-270,19,202
-283,35,222
-291,61,253
-327,74,271
-353,74,284
-379,69,306
-402,54,308
-408,57,318
-403,55,307
-403,55,310
-417,51,317
-420,41,316
-420,37,316
-425,22,320
-435,25,331
-468,28,353
-473,27,354
-469,28,357
-473,31,359
-473,31,359
-473,31,359
-473,31,359
-469,28,365
-476,28,368
-475,28,369
-469,28,361
-473,30,359
-472,30,359
-461,31,367
-473,30,359
-473,32,362
-474,33,363
-473,28,366
-472,32,360
-471,28,362
-477,27,360
-480,27,360
-479,27,360
-479,27,360
-475,27,359
-481,27,360
-479,27,360
-476,27,359
-475,27,360
-479,27,360
-478,27,360
-477,27,360
-477,27,360
-477,27,360
-477,27,359
-477,27,359
-479,27,360
-476,27,360
-480,27,359
-483,27,359
-480,27,359
-474,28,359
-476,27,360
-482,27,359
-484,27,361
-483,27,359
-474,29,359
-483,27,359
-483,27,359
-483,27,359
-483,27,359
-484,27,359
-483,27,360
-479,27,360
-482,27,360
-482,27,361
-480,27,359
-474,29,359
-474,29,359
-465,28,353
-466,29,356
-468,29,359
-472,33,356
-475,28,359
-475,27,360
-482,27,360
-478,27,360
-472,29,359
-440,28,348
-417,22,342
-400,19,342
-377,15,339
-353,7,340
-317,5,336
-300,4,335
-271,-2,333
-282,-18,326
-271,-11,330
-263,-3,342
-257,1,348
-259,4,340
-259,6,340
-262,-1,340
-259,1,342
-259,1,342
-256,-2,349
-257,4,343
-254,8,346
-215,15,343
-189,21,338
-149,15,340
-106,13,338
-74,6,335
126,12,128
1208,51,236
1207,59,235
1232,56,240
1230,56,239
1208,59,234
1205,59,228
1210,59,234
1204,51,236
2430,-8648,741
1210,51,230
1208,51,229
1207,51,230
3963,2,1594
-847,-5177,-544
-848,-5177,-544
2588,-8121,672
2588,-8121,672
2587,-8121,670
2584,-8121,673
2586,-8121,672
623,42,-110
627,34,-112
629,32,-96
643,22,-55
656,14,-21
661,17,-18
660,18,-17
660,18,-17
660,14,-16
667,14,-15
664,14,-15
659,14,-14
658,14,3
659,14,0
659,14,-10
657,14,13
660,14,15
661,14,10
677,14,-13
674,14,-11
676,14,-1
665,14,-2
675,14,13
679,14,13
681,14,2
681,14,0
681,14,0
663,14,2
656,14,-9
664,14,-11
678,14,-14
671,16,-12
681,14,-8
681,14,-10
667,14,2
681,14,-7
678,14,-7
680,14,0
679,14,-1
677,14,-11
668,14,-12
668,14,-12
676,14,-11
657,14,-14
659,14,-11
659,14,-6
708,30,-219
710,30,-217
3106,-9800,1473
707,30,-220
695,30,-220
691,30,-221
695,29,-226
695,30,-216
699,26,-192
703,25,-169
691,39,-154
691,21,-173
691,21,-173
691,24,-181
694,29,-206
677,30,-208
649,29,-208
625,28,-174
629,27,-184
640,27,-175
610,31,-162
581,32,-156
540,34,-148
525,32,-142
531,32,-126
128,12,128
1210,50,255
1208,51,242
673,21,-148
690,21,-142
702,21,-162
697,21,-164
692,21,-165
3686,19,1546
1208,51,242
889,11,136
895,14,138
892,13,145
831,11,4652
826,11,4647
827,11,4650
832,11,4655
830,11,4651
826,11,4650
828,11,4652
827,12,4656
843,17,4650
825,11,4648
824,11,4638
824,11,4638
824,11,4638
830,11,4640
825,11,4655
835,23,4656
817,25,4638
816,13,4638
814,13,4643
837,12,4658
838,17,4649
836,25,4656
837,12,4655
