-2771,69,-1504
-2753,70,-1498
-2750,62,-1502
-2746,62,-1502
-2742,50,-1499
-2736,50,-1499
-2735,43,-1501
-2733,42,-1496
-2733,42,-1496
-2733,42,-1496
-2737,55,-1496
-2745,62,-1490
-2745,62,-1490
-2745,62,-1490
-2746,62,-1494
-2748,62,-1501
-2763,62,-1499
-2771,62,-1492
-2771,62,-1497
-2771,62,-1501
-2769,62,-1492
-2768,62,-1494
-2768,62,-1494
-2760,62,-1494
-2760,62,-1494
-2760,62,-1494
-2760,62,-1494
-2760,62,-1494
-2747,62,-1497
-2747,63,-1493
-2747,64,-1494
-2747,64,-1494
-2746,66,-1492
-2746,66,-1495
-2746,66,-1495
-2746,66,-1495
-2746,66,-1495
-2746,66,-1493
-2746,66,-1493
-2746,66,-1493
-2746,66,-1493
-2746,66,-1492
-2749,62,-1492
-2755,62,-1497
-2759,62,-1494
-2750,62,-1494
-2750,62,-1494
-2745,56,-1490
-2750,56,-1499
-2741,50,-1499
-2742,50,-1496
-2743,50,-1493
-2731,50,-1490
-2731,50,-1490
-2731,50,-1490
-2736,50,-1492
-2736,50,-1491
-2736,50,-1491
-2736,50,-1491
-2736,50,-1491
-2736,50,-1491
-2736,50,-1491
-2735,46,-1502
-2743,37,-1484
-2744,37,-1484
-2745,41,-1496
-2744,37,-1483
-2744,37,-1496
-2735,50,-1501
-2738,50,-1494
-2738,50,-1494
-2738,50,-1494
-2738,50,-1494
-2738,50,-1494
-2736,50,-1492
-2732,50,-1490
-2728,50,-1494
-2728,50,-1494
-2730,51,-1493
-2729,50,-1494
-2729,50,-1494
-2729,50,-1494
-2729,50,-1494
-2729,50,-1493
-2729,50,-1491
-2736,50,-1492
-2736,50,-1492
-2736,50,-1492
-2736,50,-1492
-2737,50,-1491
-2737,50,-1491
-2737,50,-1491
-2737,50,-1499
-2737,50,-1499
-2736,50,-1500
-2735,50,-1499
-2733,50,-1496
-2729,50,-1495
-2736,50,-1492
-2736,50,-1492
-2736,50,-1492
-2737,51,-1498
-2733,50,-1494
-2734,50,-1500
-2735,43,-1500
-2737,42,-1500
-2730,41,-1501
-2737,50,-1494
-2741,42,-1498
-2743,37,-1488
-2743,37,-1488
-2744,42,-1495
-2734,50,-1500
