-25400,-2601,28000
11459,-505,-7611
13998,-15305,28590
-14156,4510,3755
1052,-15691,-7662
-27771,-6893,26689
-26743,-10096,-14453
15430,3305,-16853
-23570,20305,9347
-20176,-15689,-26646
-18932,-7490,-8607
27404,-3695,11347
-17196,-27895,-19053
-14996,-14894,5533
-10932,15905,19472
-17196,-19296,23579
-6596,-2296,30166
22004,25305,-7634
1830,30705,29722
-8158,29505,27854
23650,22705,-10684
14650,10105,9314
30250,5505,-7286
1645,31305,-7895
16645,30905,-22495
-18764,-18296,-11081
-12764,-18696,20519
4029,-18429,26721
-4171,19443,4121
-20971,-15093,-21279
-8571,-27295,9330
10429,-22095,4530
4229,-17429,10947
-3362,15,3044
