12581,-11274,-521
12581,-11274,-521
12581,-11274,-521
12581,-11274,-521
12581,-11274,-522
12581,-11274,-522
12564,-11272,-532
12519,-11265,-568
12509,-11265,-574
12509,-11265,-574
12509,-11265,-574
12509,-11265,-574
12524,-11266,-583
12548,-11270,-574
12582,-11280,-577
12580,-11284,-571
12580,-11284,-571
12579,-11286,-565
12577,-11288,-562
12581,-11294,-560
12583,-11298,-549
12598,-11299,-550
12598,-11303,-546
12572,-11297,-556
12590,-11289,-575
12616,-11285,-555
12616,-11285,-555
12618,-11286,-555
12618,-11286,-555
12618,-11286,-555
12618,-11286,-555
12617,-11286,-555
12617,-11286,-555
12617,-11286,-555
12617,-11286,-555
12617,-11286,-555
12615,-11285,-556
12617,-11286,-555
12617,-11286,-555
12617,-11286,-555
12617,-11286,-555
12617,-11286,-555
12615,-11285,-556
12618,-11284,-555
12618,-11284,-555
12618,-11284,-555
12617,-11286,-555
12618,-11288,-555
12618,-11288,-555
12588,-11276,-551
12581,-11274,-551
12579,-11276,-552
12573,-11270,-546
12561,-11271,-524
12561,-11269,-522
12561,-11269,-522
12559,-11271,-520
12559,-11271,-520
12561,-11272,-523
12584,-11272,-518
12591,-11268,-505
12597,-11267,-502
12607,-11267,-498
12612,-11273,-501
12617,-11272,-501
12617,-11271,-500
12637,-11274,-505
12643,-11272,-517
12659,-11271,-532
12659,-11281,-553
12668,-11290,-584
12674,-11301,-605
12646,-11286,-580
12641,-11281,-590
12641,-11281,-590
2166,11,2931
2193,20,2945
2190,21,2958
2202,27,2969
2202,27,2969
2175,15,2944
2175,14,2944
2175,14,2944
2175,14,2944
2175,14,2944
2175,14,2944
2205,28,2960
2210,30,2969
2175,14,2944
2175,14,2944
2177,14,2943
2177,14,2943
2177,14,2944
2175,14,2945
-640,36,-775
2160,10,2924
2156,11,2920
2174,13,2944
2174,13,2944
2174,13,2944
2174,13,2944
2200,23,2928
2175,12,2927
2162,17,2855
2143,10,2922
2142,10,2927
2142,10,2927
2142,10,2927
2142,10,2927
2159,1,2956
2164,2,2978
2164,2,2978
2164,2,2979
2164,2,2979
2164,2,2979
2164,2,2979
2166,12,2941
2152,11,2912
2152,11,2912
2152,11,2912
2147,10,2894
2169,11,2921
2155,3,2983
2127,7,2960
2127,7,2960
-643,36,-770
-634,36,-765
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
2170,13,2945
-643,36,-776
-643,36,-776
1800,13,-1912
1803,13,-1911
1796,13,-1909
2184,-1038,-1944
2182,-1038,-1944
9511,-8491,-1024
9512,-8491,-1028
12562,-11269,-552
12562,-11269,-552
12561,-11270,-552
12565,-11285,-550
12584,-11293,-563
12588,-11290,-574
12582,-11294,-561
12569,-11307,-551
12565,-11320,-552
12564,-11328,-537
12571,-11342,-530
12573,-11349,-521
12573,-11349,-521
12573,-11349,-520
12744,-11299,-381
12754,-11299,-386
12759,-11299,-387
12744,-11299,-383
12745,-11327,-399
12715,-11338,-397
12713,-11338,-397
12713,-11338,-397
12713,-11338,-397
12689,-11338,-397
12669,-11338,-397
12697,-11338,-428
12712,-11338,-467
12713,-11367,-475
12713,-11322,-475
12713,-11322,-475
12714,-11329,-472
12714,-11362,-455
12725,-11341,-495
12722,-11341,-531
12720,-11325,-557
12711,-11325,-594
12703,-11325,-603
12707,-11325,-617
12713,-11325,-581
12700,-11325,-544
12681,-11326,-529
12681,-11335,-527
12671,-11335,-520
12658,-11317,-517
12649,-11317,-517
12641,-11323,-513
12602,-11318,-500
12598,-11318,-498
12598,-11318,-498
12598,-11318,-498
12601,-11318,-498
12601,-11318,-498
12625,-11318,-481
12626,-11323,-492
12624,-11318,-475
12643,-11318,-475
12639,-11357,-453
12654,-11394,-427
12684,-11394,-426
12695,-11394,-442
12698,-11384,-453
12698,-11389,-458
12698,-11390,-458
12693,-11390,-449
12701,-11390,-410
12705,-11390,-383
12713,-11390,-342
12714,-11390,-299
12708,-11390,-257
12722,-11390,-216
12728,-11390,-192
12728,-11390,-192
12713,-11354,-166
12711,-11354,-164
12711,-11354,-164
12711,-11354,-164
12709,-11354,-165
12708,-11354,-165
12712,-11354,-171
12698,-11354,-200
12698,-11366,-207
12718,-11366,-228
12729,-11366,-228
12729,-11366,-228
12729,-11366,-228
12730,-11366,-219
12667,-11361,-87
12623,-11292,43
12598,-11292,51
12595,-11308,51
12595,-11308,51
12595,-11308,51
12595,-11308,51
12595,-11303,55
12608,-11300,70
12616,-11296,83
12617,-11301,84
12603,-11314,83
12601,-11309,81
12588,-11313,70
12588,-11313,69
12577,-11313,79
12586,-11313,107
12587,-11317,106
12587,-11317,106
12588,-11303,123
12596,-11303,168
12599,-11303,175
12624,-11303,165
-629,36,-760
-630,36,-763
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
2175,14,2944
-632,35,-764
-632,35,-774
-635,36,-767
-635,36,-766
-635,36,-766
-635,36,-766
-635,36,-766
-635,35,-766
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
-634,36,-766
-637,36,-766
-636,36,-766
-636,36,-766
-634,36,-766
2172,14,2940
2174,16,2946
2155,11,2935
2163,2,2979
2163,2,2979
